"activity"	"subject"	"variable"	"mean"
"walking"	"1"	"tBodyAccmeanX"	0.276336875325203
"walking"	"1"	"tBodyAccmeanY"	-0.0179068331339779
"walking"	"1"	"tBodyAccmeanZ"	-0.108881687638618
"walking"	"1"	"tBodyAccstdX"	-0.314644454310285
"walking"	"1"	"tBodyAccstdY"	-0.0235829464260859
"walking"	"1"	"tBodyAccstdZ"	-0.2739207990668
"walking"	"1"	"tGravityAccmeanX"	0.93499157825784
"walking"	"1"	"tGravityAccmeanY"	-0.196713497359117
"walking"	"1"	"tGravityAccmeanZ"	-0.0538251249015482
"walking"	"1"	"tGravityAccstdX"	-0.977612074494773
"walking"	"1"	"tGravityAccstdY"	-0.966903875917538
"walking"	"1"	"tGravityAccstdZ"	-0.954597565156794
"walking"	"1"	"tBodyAccJerkmeanX"	0.0767187377408595
"walking"	"1"	"tBodyAccJerkmeanY"	0.0115061924659823
"walking"	"1"	"tBodyAccJerkmeanZ"	-0.00231938614930952
"walking"	"1"	"tBodyAccJerkstdX"	-0.267288163330981
"walking"	"1"	"tBodyAccJerkstdY"	-0.103141139217389
"walking"	"1"	"tBodyAccJerkstdZ"	-0.479147120981986
"walking"	"1"	"tBodyGyromeanX"	-0.0347275766522822
"walking"	"1"	"tBodyGyromeanY"	-0.0694200436104837
"walking"	"1"	"tBodyGyromeanZ"	0.0863626487285566
"walking"	"1"	"tBodyGyrostdX"	-0.469914839340418
"walking"	"1"	"tBodyGyrostdY"	-0.347921806314175
"walking"	"1"	"tBodyGyrostdZ"	-0.338448612532172
"walking"	"1"	"tBodyGyroJerkmeanX"	-0.0943007119992102
"walking"	"1"	"tBodyGyroJerkmeanY"	-0.0445701108594715
"walking"	"1"	"tBodyGyroJerkmeanZ"	-0.0540064674427816
"walking"	"1"	"tBodyGyroJerkstdX"	-0.37622140274036
"walking"	"1"	"tBodyGyroJerkstdY"	-0.512619067859872
"walking"	"1"	"tBodyGyroJerkstdZ"	-0.447427245411672
"walking"	"1"	"tBodyAccMagmean"	-0.167937853979757
"walking"	"1"	"tBodyAccMagstd"	-0.33775398556687
"walking"	"1"	"tGravityAccMagmean"	-0.167937853979757
"walking"	"1"	"tGravityAccMagstd"	-0.33775398556687
"walking"	"1"	"tBodyAccJerkMagmean"	-0.241451989838379
"walking"	"1"	"tBodyAccJerkMagstd"	-0.214555894362491
"walking"	"1"	"tBodyGyroMagmean"	-0.274866019270244
"walking"	"1"	"tBodyGyroMagstd"	-0.382629015979094
"walking"	"1"	"tBodyGyroJerkMagmean"	-0.460511516745528
"walking"	"1"	"tBodyGyroJerkMagstd"	-0.498841024689745
"walking"	"1"	"fBodyAccmeanX"	-0.297890931822619
"walking"	"1"	"fBodyAccmeanY"	-0.0423392245272938
"walking"	"1"	"fBodyAccmeanZ"	-0.341840674953966
"walking"	"1"	"fBodyAccstdX"	-0.322835798362427
"walking"	"1"	"fBodyAccstdY"	-0.0772063416317422
"walking"	"1"	"fBodyAccstdZ"	-0.296078309260848
"walking"	"1"	"fBodyAccmeanFreqX"	-0.28685827761899
"walking"	"1"	"fBodyAccmeanFreqY"	0.0518636618040337
"walking"	"1"	"fBodyAccmeanFreqZ"	0.0749560748261487
"walking"	"1"	"fBodyAccJerkmeanX"	-0.31112743843018
"walking"	"1"	"fBodyAccJerkmeanY"	-0.170395065771795
"walking"	"1"	"fBodyAccJerkmeanZ"	-0.451010514389593
"walking"	"1"	"fBodyAccJerkstdX"	-0.287897688500499
"walking"	"1"	"fBodyAccJerkstdY"	-0.0908699078702335
"walking"	"1"	"fBodyAccJerkstdZ"	-0.506329080412654
"walking"	"1"	"fBodyAccJerkmeanFreqX"	-0.258388290587468
"walking"	"1"	"fBodyAccJerkmeanFreqY"	-0.354659109992689
"walking"	"1"	"fBodyAccJerkmeanFreqZ"	-0.24068649680518
"walking"	"1"	"fBodyGyromeanX"	-0.348237370890012
"walking"	"1"	"fBodyGyromeanY"	-0.388384886139303
"walking"	"1"	"fBodyGyromeanZ"	-0.310406242610407
"walking"	"1"	"fBodyGyrostdX"	-0.510431986710081
"walking"	"1"	"fBodyGyrostdY"	-0.331961524686347
"walking"	"1"	"fBodyGyrostdZ"	-0.410569112536585
"walking"	"1"	"fBodyGyromeanFreqX"	-0.0677418230563182
"walking"	"1"	"fBodyGyromeanFreqY"	-0.0984530711444367
"walking"	"1"	"fBodyGyromeanFreqZ"	-0.0721787297258188
"walking"	"1"	"fBodyAccMagmean"	-0.275558097404657
"walking"	"1"	"fBodyAccMagstd"	-0.480002278144599
"walking"	"1"	"fBodyAccMagmeanFreq"	0.184417205519328
"walking"	"1"	"fBodyBodyAccJerkMagmean"	-0.214653971925401
"walking"	"1"	"fBodyBodyAccJerkMagstd"	-0.221617770280105
"walking"	"1"	"fBodyBodyAccJerkMagmeanFreq"	0.0773140386701899
"walking"	"1"	"fBodyBodyGyroMagmean"	-0.409173038476359
"walking"	"1"	"fBodyBodyGyroMagstd"	-0.47383309359518
"walking"	"1"	"fBodyBodyGyroMagmeanFreq"	0.163203814253339
"walking"	"1"	"fBodyBodyGyroJerkMagmean"	-0.515516844208937
"walking"	"1"	"fBodyBodyGyroJerkMagstd"	-0.514404823691173
"walking"	"1"	"fBodyBodyGyroJerkMagmeanFreq"	0.130805801208583
"walkingUpstairs"	"2"	"tBodyAccmeanX"	0.26229464948342
"walkingUpstairs"	"2"	"tBodyAccmeanY"	-0.0259232890342181
"walkingUpstairs"	"2"	"tBodyAccmeanZ"	-0.120537934670272
"walkingUpstairs"	"2"	"tBodyAccstdX"	-0.237989747950635
"walkingUpstairs"	"2"	"tBodyAccstdY"	-0.0160325123253303
"walkingUpstairs"	"2"	"tBodyAccstdZ"	-0.175449700484728
"walkingUpstairs"	"2"	"tGravityAccmeanX"	0.875003375958549
"walkingUpstairs"	"2"	"tGravityAccmeanY"	-0.281377193548575
"walkingUpstairs"	"2"	"tGravityAccmeanZ"	-0.14079566587547
"walkingUpstairs"	"2"	"tGravityAccstdX"	-0.948191332253886
"walkingUpstairs"	"2"	"tGravityAccstdY"	-0.925549271962435
"walkingUpstairs"	"2"	"tGravityAccstdZ"	-0.901905618180052
"walkingUpstairs"	"2"	"tBodyAccJerkmeanX"	0.0767293215286917
"walkingUpstairs"	"2"	"tBodyAccJerkmeanY"	0.00875888964679404
"walkingUpstairs"	"2"	"tBodyAccJerkmeanZ"	-0.00600953398545337
"walkingUpstairs"	"2"	"tBodyAccJerkstdX"	-0.360863432417876
"walkingUpstairs"	"2"	"tBodyAccJerkstdY"	-0.339226496686328
"walkingUpstairs"	"2"	"tBodyAccJerkstdZ"	-0.627063649764249
"walkingUpstairs"	"2"	"tBodyGyromeanX"	0.00682449600215674
